run,groups,unassigned,coverage_rate,mean_chunks_per_group,median_chunks_per_group,std_chunks_per_group,mean_intra_cosine,mean_inter_cosine,gini_group_sizes,max_group_share,silhouette_cosine,chunks,method,topic_similarity,keyword_similarity,mean_summary_chunk_sim,summary_margin,
run_19,8,0,1,8.25,9,3.929058411,0.714854128,0.406603105,0.265151515,0.212121212,0.174229621,66,heuristic,0.071896985,0.115461656,0.536452886,0.317885908,
run_2,7,0,1,7.285714286,4,7.591617289,0.803438612,0.358176018,0.509803922,0.470588235,0.21153569,51,heuristic,0.090636437,0.108266068,0.642748896,0.416996904,
run_20,8,0,1,8.5,4,7.778174593,0.788411287,0.383965427,0.485294118,0.338235294,0.154615619,68,heuristic,0.672126132,0.159386202,0.591284538,0.370086128,
run_21,5,0,1,6.6,7,3.261901286,0.759959043,0.432948056,0.278787879,0.333333333,0.175480313,33,heuristic,0.070260702,0.12236487,0.582262172,0.35984977,
run_22,6,0,1,7.333333333,6,4.149966533,0.737659369,0.442071667,0.28030303,0.363636364,0.150611081,44,heuristic,0.129988898,0.153182889,0.578536955,0.331929092,
run_23,7,0,1,7.714285714,7,3.103651569,0.738278025,0.4349349,0.222222222,0.240740741,0.184035578,54,heuristic,0.128388397,0.077707219,0.545843537,0.298240857,
run_24,7,0,1,7.857142857,7,4.050699108,0.723703185,0.450399888,0.285714286,0.272727273,0.140414128,55,heuristic,0.073344377,0.106999774,0.549723562,0.31281877,
run_3,6,0,1,7.666666667,9.5,3.771236166,0.772197223,0.417959667,0.260869565,0.260869565,0.240631893,46,heuristic,0.176571268,0.09844817,0.57560637,0.341112122,
run_4,7,0,1,7.285714286,8,3.103651569,0.748663721,0.438021376,0.240896359,0.235294118,0.256153477,51,heuristic,0.099166495,0.090181814,0.574170288,0.307909134,
run_5,8,0,1,9,9.5,3.5,0.760079237,0.38640838,0.215277778,0.208333333,0.256524391,72,heuristic,0.105423753,0.137298841,0.601789522,0.375102466,
